,0
FOOD CART,6
UPS TRUCK,6
BOBCAT,6
postal tru,6
ICE C,6
Skateboard,6
na,6
ENGIN,6
FLATBED,6
HORSE CARR,6
SKATE,6
TRANS,6
E scooter,6
Fire Engin,6
Com,6
cargo,6
delivery t,6
Street Swe,6
Box t,6
ARMOR,6
REP,6
other,6
comm,6
GATOR,6
golf,6
BOOM,6
Suburban,6
Grain,6
GAS MOPED,6
mack,6
PEDIC,6
Flatbed,6
DIRTBIKE,6
sanitation,6
horse,6
SWEEP,5
FREIGHTLIN,5
0,5
APPOR,5
Garbage Tr,5
AMBULETTE,5
G COM,5
us po,5
trac,5
front,5
Self,5
FD TRUCK,5
NYS AMBULA,5
DUMPT,5
P/U,5
Passenger,5
GLBEN,5
Tk,5
SE,5
constructi,5
Tractor Tr,5
work,5
Golf Cart,5
MTA Bus,5
flatb,5
tractor tr,5
ICE CREAM,5
Motor Home,5
Road sweep,5
MOBIL,5
4dsd,5
utility tr,5
MINIV,5
Excavator,5
BK,5
FRONT,5
COURI,5
OIL T,5
LCOM,5
WHEELCHAIR,5
Road,5
UNKOWN,5
U-Hau,5
TF,5
Gas scoote,5
Delivery t,5
Postal tru,5
Snowmobile,5
dump truck,5
mcy,5
CASE,5
MOVIN,5
USPS POSTA,5
FED E,5
ELECTRIC M,5
subur,5
Golf,4
SW,4
Pick Up Tr,4
4D,4
sprinter v,4
government,4
back,4
ECONOLINE,4
TRC,4
cater,4
power shov,4
DELIVERY V,4
fork lift,4
Sprinter v,4
UKNOWN,4
e-bike,4
EMS TRUCK,4
TOWER,4
E-SKATEBOA,4
SEMI TRAIL,4
acces,4
Courier,4
road sweep,4
4DR,4
e-bik,4
Backhoe,4
Fork Lift,4
SEMI-TRAIL,4
RAM,4
FDNY fire,4
mta bus,4
Power shov,4
uhaul,4
SKID,4
LIFT,4
Delv,4
van t,4
Unknown ve,4
Dirt Bike,4
left,4
NYC TRANSI,4
RMP V,4
Wagon,4
electric s,4
Mini,4
1,4
NOT I,4
C3,4
E COM,4
utility,4
rv,4
FOOD TRUCK,4
food,4
yello,4
Electric S,4
USPS VAN,4
omt,4
dsny,4
dirt bike,4
Delivery T,4
excav,4
fdny truck,4
2 DOO,4
DIRTB,4
4DS,4
Cargo,4
Flatb,4
FLEET,4
suv,4
Trailor,4
Van Truck,4
E Bik,4
NYC AMBULA,4
FRIEG,4
Lift,4
BS,4
E SCO,4
TLR,4
E SCOOTER,4
G TOW,4
BOOM LIFT,4
RENTA,4
Backh,4
Mail,4
COMMERICAL,4
Freig,4
trlr,4
TOWTR,4
SCL,3
FRE,3
ESCOOTER S,3
NYC FIRE T,3
trk,3
motor scoo,3
PARKE,3
Rescu,3
MOPPED,3
commerical,3
A,3
E-Unicycle,3
Food Cart,3
999,3
Sprin,3
Usps,3
Motorized,3
ebike,3
FED EX,3
Trac,3
MOPAD,3
BUs,3
passe,3
18 WH,3
Fdny ambul,3
SMALL,3
HEAVY,3
LADDE,3
VERIZ,3
street swe,3
TRANSPORT,3
PAYLO,3
COMM VAN,3
self insur,3
MAN L,3
stak,3
PU,3
Self insur,3
MACK TRUCK,3
G AMB,3
GRAY,3
MOTORSCOOT,3
POST,3
FLAT BED T,3
12 PASSENG,3
HOUSE,3
REVEL SCOO,3
I1,3
NEW Y,3
Fdny,3
FORD VAN,3
passenger,3
SWT,3
WINNE,3
dirt,3
COM T,3
PKUP,3
MINI VAN,3
LADDER TRU,3
Food,3
HAND,3
VMS,3
bulld,3
MC,3
Self Insur,3
Motor Scoo,3
Government,3
POSTAL VEH,3
Flat bed,3
MECHANICAL,3
unkow,3
BULLDOZER,3
X COM,3
OMS,3
